Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
55399,"Gardens of the Moon (Malazan Book of the Fallen, #1)",Steven Erikson,"Erikson, Steven",,"=""0765348780""","=""9780765348784""",0,3.91,Tor Books,Mass Market Paperback,657,2005,1999,,2022/11/23,to-read,to-read (#1),to-read,,,,0,0
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""075640407X""","=""9780756404079""",0,4.52,Penguin Group DAW,Hardcover,662,2007,2007,,2022/09/11,currently-reading,currently-reading (#2),currently-reading,,,,1,0
46133968,"The Priory of the Orange Tree (The Roots of Chaos, #1)",Samantha Shannon,"Shannon, Samantha",,"=""140888335X""","=""9781408883358""",2,4.23,Bloomsbury Publishing,Paperback,830,2020,2019,,2022/08/04,,,read,"Has lots of cool ideas going for it, with regards to magic, characters and creatures. In terms of world building, Shannon falls into some stale clichés mirroring feudal Japan and China as the clearly foreign 'Eastern' nations and Roman Catholic western nations.<br/><br/>Pacing seems off too, major conflicts have decent buildup but are resolved way too quickly.",,,1,0
40696964,"Lethal White (Cormoran Strike, #4)",Robert Galbraith,"Galbraith, Robert",,"=""0316422738""","=""9780316422734""",0,4.24,Mulholland Books,Hardcover,656,2018,2018,,2022/08/04,currently-reading,currently-reading (#1),currently-reading,,,,1,0
75786,Infinite Jest,David Foster Wallace,"Wallace, David Foster",Dave Eggers,"=""0316066524""","=""9780316066525""",0,4.26,Back Bay Books,Paperback,1079,2006,1996,,2015/04/26,dnf,dnf (#1),dnf,,,,0,0
23754479,Purity,Jonathan Franzen,"Franzen, Jonathan",,"=""0374239215""","=""9780374239213""",0,3.63,"Farrar, Straus and Giroux",Hardcover,563,2015,2015,,2015/09/03,,,read,,,,1,0
25180787,Purity,Jonathan Franzen,"Franzen, Jonathan",,"=""0007532768""","=""9780007532766""",4,3.63,Fourth Estate,Hardcover,563,2015,2015,2015/10/23,2015/09/27,,,read,,,,1,0
25031730,Look Who's Back,Timur Vermes,"Vermes, Timur",Jamie Bulloch,"=""1782067833""","=""9781782067832""",0,3.43,MacLehose Press,Paperback,375,2016,2012,2015/09/27,2015/09/20,,,read,,,,1,0
18455925,Dear Life,Alice Munro,"Munro, Alice",,"=""0804168911""","=""9780804168915""",0,3.75,Vintage International,Paperback,319,2013,2012,,2015/09/20,,,read,,,,1,0
20493695,"If I Stay (If I Stay, #1)",Gayle Forman,"Forman, Gayle",,"=""1909531235""","=""9781909531239""",0,3.93,Definitions (Young Adult),Paperback,210,2014,2009,,2015/09/20,,,read,,,,1,0
